Title;Year;Rotten Tomatoes;Hulu
My Little Pony: Friendship Is Magic;2010;68;Tem
Leah Remini: Scientology and the Aftermath;2016;68;Tem
Containment;2016;68;Não tem
Z Nation;2014;68;Não tem
Emily in Paris;2020;68;Não tem
Victorious;2010;68;Não tem
Scream: The TV Series;2015;68;Não tem
Akame ga Kill!;2014;68;Tem
Warrior Nun;2020;68;Não tem
Bad Blood;2017;68;Não tem
Young & Hungry;2014;68;Não tem
Caliphate;2020;68;Não tem
Good Witch;2015;68;Não tem
Gilmore Girls: A Year in the Life;2016;68;Não tem
Aquarius;2015;68;Não tem
Firefly Lane;2021;67;Não tem
White Gold;2017;67;Não tem
Hyperdrive;2019;67;Não tem
Ninjago: Masters of Spinjitzu;2012;67;Não tem
BEASTARS;2019;67;Não tem
Kill la Kill;2013;67;Não tem
Down to Earth with Zac Efron;2020;67;Não tem
Ancient Aliens;2010;67;Tem
Slasher;2016;67;Não tem
Time: The Kalief Browder Story;2017;67;Não tem
Away;2020;67;Não tem
No Tomorrow;2016;67;Não tem
Locked Up;2015;67;Não tem
The Frankenstein Chronicles;2015;67;Não tem
The Ranch;2016;67;Não tem
Cursed;2020;67;Não tem
Wu Assassins;2019;67;Não tem
Mr. Sunshine;2018;67;Não tem
The Unicorn;2019;67;Tem
Anohana: The Flower We Saw That Day;2011;67;Não tem
The Challenge;1998;67;Tem
Gypsy;2017;67;Não tem
Fuller House;2016;67;Não tem
Killer Inside: The Mind of Aaron Hernandez;2020;67;Não tem
RESIDENT EVIL: Infinite Darkness;2021;67;Não tem
1983;2018;67;Não tem
Wet Hot American Summer: First Day of Camp;2015;67;Não tem
The Baker and the Beauty;2020;67;Não tem
Spinning Out;2020;67;Não tem
Trinkets;2019;67;Não tem
Insatiable;2018;67;Não tem
The Chalet;2018;67;Não tem
We Bare Bears;2015;67;Tem
Gurren Lagann;2007;66;Não tem
Friends from College;2017;66;Não tem
Jericho;2006;66;Não tem
Tidelands;2018;66;Não tem
