Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+
F is for Family;2015;18+;8;74;Tem;Não tem;Não tem;Não tem
The Midnight Gospel;2020;18+;8,2;74;Tem;Não tem;Não tem;Não tem
Ragnarok;2020;18+;7,5;74;Tem;Não tem;Tem;Não tem
Legacies;2018;16+;7,4;74;Tem;Não tem;Não tem;Não tem
The Order;2019;18+;6,8;74;Tem;Não tem;Não tem;Não tem
Disenchantment;2018;16+;7,2;74;Tem;Não tem;Não tem;Não tem
Dead Set;2008;18+;7,6;74;Tem;Não tem;Não tem;Não tem
Dirty Money;2018;16+;8,1;74;Tem;Não tem;Não tem;Não tem
The Staircase;2005;16+;7,9;74;Tem;Não tem;Não tem;Não tem
Soul Eater;2008;16+;7,8;74;Tem;Tem;Não tem;Não tem
Into the Night;2020;18+;7,1;74;Tem;Não tem;Não tem;Não tem
Julie and the Phantoms;2020;7+;8,5;74;Tem;Não tem;Não tem;Não tem
Leyla ile Mecnun;2011;7+;9,1;74;Tem;Não tem;Não tem;Não tem
Living with Yourself;2019;18+;7,2;74;Tem;Não tem;Não tem;Não tem
Hilda;2018;7+;8,6;74;Tem;Não tem;Não tem;Não tem
The Mechanism;2018;18+;8,4;74;Tem;Não tem;Não tem;Não tem
ERASED;2016;16+;8,5;74;Tem;Tem;Não tem;Não tem
Formula 1: Drive to Survive;2019;16+;8,6;74;Tem;Não tem;Não tem;Não tem
Don't F**k with Cats: Hunting an Internet Killer;2019;18+;8;74;Tem;Não tem;Não tem;Não tem
Kim's Convenience;2016;16+;8,2;73;Tem;Não tem;Não tem;Não tem
The Society;2019;18+;7,1;73;Tem;Não tem;Não tem;Não tem
Imposters;2017;16+;7,8;73;Tem;Não tem;Não tem;Não tem
Frequency;2016;7+;7,5;73;Tem;Não tem;Tem;Não tem
Wentworth;2013;18+;8,6;73;Tem;Não tem;Não tem;Não tem
Marvel's Iron Fist;2017;18+;6,5;73;Tem;Não tem;Não tem;Não tem
Bleach;2004;18+;8,1;73;Tem;Tem;Não tem;Não tem
Quantico;2015;16+;6,7;73;Tem;Não tem;Não tem;Não tem
Shooter;2016;16+;7,5;73;Tem;Não tem;Não tem;Não tem
PokÃ©mon;1997;7+;7,5;73;Tem;Tem;Tem;Não tem
Hollywood;2020;18+;7,5;73;Tem;Não tem;Não tem;Não tem
Madam Secretary;2014;16+;7,6;73;Tem;Não tem;Não tem;Não tem
Last Tango in Halifax;2012;16+;8,3;73;Tem;Não tem;Não tem;Não tem
Safe;2018;18+;7,3;73;Tem;Tem;Não tem;Não tem
Resurrection: Ertugrul;2014;16+;8;73;Tem;Não tem;Não tem;Não tem
Versailles;2015;18+;7,9;73;Tem;Não tem;Não tem;Não tem
Sex/Life;2021;18+;5,4;73;Tem;Não tem;Não tem;Não tem
Fullmetal Alchemist;2003;16+;8,5;73;Tem;Não tem;Não tem;Não tem
Marianne;2019;18+;7,5;73;Tem;Não tem;Não tem;Não tem
Five Came Back;2017;16+;8,3;73;Tem;Não tem;Não tem;Não tem
Miraculous: Tales of Ladybug & Cat Noir;2015;7+;7,7;73;Tem;Não tem;Não tem;Não tem
Abstract: The Art of Design;2017;16+;8,4;73;Tem;Não tem;Não tem;Não tem
Teenage Bounty Hunters;2020;18+;7,7;72;Tem;Não tem;Não tem;Não tem
Documentary Now!;2015;18+;8,1;72;Tem;Não tem;Não tem;Não tem
Special;2019;18+;7,6;72;Tem;Não tem;Não tem;Não tem
JoJo's Bizarre Adventure;2012;18+;8,4;72;Tem;Tem;Não tem;Não tem
Manhunt;2017;16+;8,1;72;Tem;Não tem;Não tem;Não tem
Your Lie in April;2014;7+;8,6;72;Tem;Tem;Não tem;Não tem
Code Geass: Lelouch of the Rebellion;2006;18+;8,7;72;Tem;Não tem;Não tem;Não tem
Middleditch & Schwartz;2020;18+;8,6;72;Tem;Não tem;Não tem;Não tem
Zoo;2015;16+;6,7;72;Tem;Não tem;Não tem;Não tem
Jupiters Legacy;2021;18+;6,7;72;Tem;Não tem;Não tem;Não tem
Ratched;2020;18+;7,3;72;Tem;Não tem;Não tem;Não tem
Babylon Berlin;2017;18+;8,4;72;Tem;Não tem;Não tem;Não tem
Everything Sucks!;2018;16+;7,5;72;Tem;Não tem;Não tem;Não tem
Evil Genius;2018;18+;7,5;72;Tem;Não tem;Não tem;Não tem
Doctor Foster;2015;16+;7,7;72;Tem;Não tem;Não tem;Não tem
Marcella;2016;18+;7,4;72;Tem;Não tem;Não tem;Não tem
Survivor;2000;7+;7,2;72;Tem;Tem;Tem;Não tem
Derek;2013;7+;8;72;Tem;Não tem;Não tem;Não tem
0,03;2016;18+;7,4;72;Tem;Não tem;Não tem;Não tem
Tuca & Bertie;2019;18+;7,4;72;Tem;Não tem;Não tem;Não tem
Parasyte -the maxim-;2014;18+;8,3;72;Tem;Tem;Não tem;Não tem
Last Chance U;2016;16+;8,4;71;Tem;Não tem;Não tem;Não tem
Trailer Park Boys;2001;18+;8,5;71;Tem;Não tem;Não tem;Não tem
Black Lightning;2018;16+;6,1;71;Tem;Não tem;Não tem;Não tem
Chicago Med;2015;16+;7,6;71;Tem;Tem;Não tem;Não tem
How to Sell Drugs Online (Fast);2019;18+;7,9;71;Tem;Não tem;Não tem;Não tem
Secret City;2016;18+;7,4;71;Tem;Não tem;Não tem;Não tem
Dynasty;2017;16+;7,3;71;Tem;Não tem;Não tem;Não tem
Dracula;2020;18+;6,8;71;Tem;Não tem;Não tem;Não tem
Space Force;2020;18+;6,7;71;Tem;Não tem;Não tem;Não tem
Pretend It's a City;2021;16+;8,1;71;Tem;Não tem;Não tem;Não tem
Masters of the Universe: Revelation;2021;7+;4,9;71;Tem;Não tem;Não tem;Não tem
iCarly;2007;0;6,7;71;Tem;Não tem;Não tem;Não tem
Who Killed Sara?;2021;18+;6,4;71;Tem;Não tem;Não tem;Não tem
Sword Art Online;2012;18+;7,6;71;Tem;Tem;Não tem;Não tem
Paranormal;2020;7+;8,5;71;Tem;Não tem;Não tem;Não tem
Frontier;2016;18+;7,2;71;Tem;Não tem;Não tem;Não tem
The Politician;2019;16+;7,5;71;Tem;Não tem;Não tem;Não tem
Raising Dion;2019;7+;7,2;71;Tem;Não tem;Não tem;Não tem
Food Wars! Shokugeki no Soma;2015;18+;8,2;71;Tem;Tem;Não tem;Não tem
Crash Landing on You;2019;16+;8,7;71;Tem;Não tem;Não tem;Não tem
Seven Seconds;2018;18+;7,7;71;Tem;Não tem;Não tem;Não tem
The Great British Bake Off;2010;7+;8,5;70;Tem;Não tem;Não tem;Não tem
Wizards: Tales of Arcadia;2020;7+;8,2;70;Tem;Não tem;Não tem;Não tem
Conversations with a Killer: The Ted Bundy Tapes;2019;18+;7,8;70;Tem;Não tem;Não tem;Não tem
Fate: The Winx Saga;2021;18+;6,9;70;Tem;Não tem;Não tem;Não tem
The Circle;2020;18+;7,3;70;Tem;Não tem;Tem;Não tem
Cheer;2020;16+;8,1;70;Tem;Não tem;Não tem;Não tem
Hemlock Grove;2013;18+;7,1;70;Tem;Não tem;Não tem;Não tem
Transformers: War for Cybertron: Siege;2020;16+;7,4;70;Tem;Não tem;Não tem;Não tem
Explained;2018;16+;8;70;Tem;Não tem;Não tem;Não tem
Messiah;2020;18+;7,6;70;Tem;Não tem;Não tem;Não tem
Sky Rojo;2021;18+;6,5;70;Tem;Não tem;Não tem;Não tem
Bonding;2019;18+;7,2;70;Tem;Não tem;Não tem;Não tem
I'm Sorry;2017;7+;8;70;Tem;Não tem;Não tem;Não tem
Katla;2021;18+;7,1;70;Tem;Não tem;Não tem;Não tem
It's Okay to Not Be Okay;2020;16+;8,8;70;Tem;Não tem;Não tem;Não tem
Forensic Files;1996;16+;8,8;70;Tem;Tem;Tem;Não tem
Workin' Moms;2017;18+;7,6;70;Tem;Não tem;Não tem;Não tem
The Toys That Made Us;2017;16+;8,1;70;Tem;Não tem;Não tem;Não tem
The Devil Next Door;2019;18+;7,6;70;Tem;Não tem;Não tem;Não tem
Kipo and the Age of Wonderbeasts;2020;7+;8,4;70;Tem;Não tem;Não tem;Não tem
Roswell, New Mexico;2019;16+;6,2;70;Tem;Não tem;Não tem;Não tem
Night Stalker: The Hunt For a Serial Killer;2021;18+;7,5;70;Tem;Não tem;Não tem;Não tem
Glitch;2015;16+;7,3;70;Tem;Não tem;Não tem;Não tem
Great Pretender;2020;18+;8;69;Tem;Não tem;Não tem;Não tem
InuYasha;2000;16+;7,9;69;Tem;Tem;Não tem;Não tem
In the Dark;2019;16+;7,5;69;Tem;Não tem;Não tem;Não tem
GHOUL;2018;18+;7,1;69;Tem;Não tem;Não tem;Não tem
Nailed It!;2018;7+;7,4;69;Tem;Não tem;Não tem;Não tem
Voltron: Legendary Defender;2016;7+;8,1;69;Tem;Não tem;Não tem;Não tem
Trollhunters: Tales of Arcadia;2016;7+;8,4;69;Tem;Não tem;Não tem;Não tem
Sweet Magnolias;2020;16+;7,4;69;Tem;Não tem;Não tem;Não tem
Medici: Masters of Florence;2016;7+;7,9;69;Tem;Não tem;Não tem;Não tem
Aggretsuko;2018;16+;8,1;69;Tem;Não tem;Não tem;Não tem
Jurassic World: Camp Cretaceous;2020;7+;7,5;69;Tem;Não tem;Não tem;Não tem
Rake;2010;16+;8,5;69;Tem;Tem;Tem;Não tem
The Gift;2019;18+;7,2;69;Tem;Tem;Não tem;Não tem
Violet Evergarden;2018;16+;8,5;69;Tem;Não tem;Não tem;Não tem
3Below: Tales of Arcadia;2018;7+;7,7;69;Tem;Não tem;Não tem;Não tem
Jeffrey Epstein: Filthy Rich;2020;18+;7,1;69;Tem;Não tem;Não tem;Não tem
Dawson's Creek;1998;7+;6,6;69;Tem;Tem;Não tem;Não tem
Private Practice;2007;16+;6,7;69;Tem;Tem;Não tem;Não tem
Beauty and the Beast;2012;7+;7;69;Tem;Não tem;Não tem;Tem
Daybreak;2019;18+;6,7;69;Tem;Não tem;Não tem;Não tem
Easy;2016;18+;6,9;69;Tem;Não tem;Não tem;Não tem
Behind Her Eyes;2021;18+;7,2;68;Tem;Não tem;Não tem;Não tem
Collateral;2018;18+;6,8;68;Tem;Não tem;Não tem;Não tem
Knightfall;2017;16+;6,8;68;Tem;Não tem;Não tem;Não tem
The Confession Killer;2019;16+;7,4;68;Tem;Não tem;Não tem;Não tem
Sophie: A Murder In West Cork;2021;18+;6,9;68;Tem;Não tem;Não tem;Não tem
Call My Agent!;2015;16+;8,3;68;Tem;Não tem;Não tem;Não tem
My Little Pony: Friendship Is Magic;2010;7+;7,6;68;Tem;Tem;Não tem;Não tem
Leah Remini: Scientology and the Aftermath;2016;16+;9;68;Tem;Tem;Não tem;Não tem
Containment;2016;16+;7,2;68;Tem;Não tem;Não tem;Não tem
Z Nation;2014;16+;6,7;68;Tem;Não tem;Não tem;Não tem
Emily in Paris;2020;18+;7;68;Tem;Não tem;Não tem;Não tem
Victorious;2010;7+;6,9;68;Tem;Não tem;Não tem;Não tem
Scream: The TV Series;2015;16+;7,1;68;Tem;Não tem;Não tem;Não tem
Akame ga Kill!;2014;18+;7,8;68;Tem;Tem;Não tem;Não tem
Warrior Nun;2020;18+;6,9;68;Tem;Não tem;Não tem;Não tem
Bad Blood;2017;18+;7,5;68;Tem;Não tem;Não tem;Não tem
Young & Hungry;2014;16+;7,4;68;Tem;Não tem;Não tem;Não tem
